Ce,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Target
4.103375725,0.919693627,3.077931176,0.054896605,22.9388748,9.45505193,142.011798,55.65561465,288.017046,60.44816824,662.2797735,108.6352544,0
27.20790787,6.493247237,16.18405934,1.125227107,102.3933831,40.19634783,511.0681996,203.9164464,917.8371683,206.9279703,1952.792535,349.5348632,0
9,2.52,1.02,0.35,7.3,2.45,27.2,9,45.4,10.9,147,19.3,1
30.68,2.01,3.93,1.25,21.45,7.64,94.28,39.19,188.8,42.99,417.7,93.21,1
13.9,1.36,2.31,0.29,24.3,6.18,79.2,29.2,173,30.3,327,55.5,0
1.301,1.79,2.76,0.252,11,3.701943933,38.14,13,56.31,11.43298066,102.5,21.37,0
2.56,1.3,5.08,0.1,31.2,9.7,94.3,23.9,77.4,11.9,90.8,12.1,0
14.03241374,0.63163952,2.129531112,0.559797902,18.57516454,8.596217975,105.7628811,43.1714623,205.5068109,46.08357518,387.3293964,74.76806109,1
0.88,0.74,0.83,0.18,2.41,0.66,6.75,2.16,8.12,2.32,15,3.02,0
17.84,1.16,4.07,0.43,24.22,9.28,128.45,50.56,244.25,52.54,502.68,102.85,1
117.9193578,2.274874865,3.950230079,0.982856449,26.00534817,9.745918532,140.4544706,60.19083291,342.6037442,81.04338105,965.5071863,186.5660734,1
52.3764312,1.038559384,3.535709307,1.539018077,27.45182451,9.780197066,130.7007794,51.1395026,285.8199355,59.63320897,610.3368101,121.1678816,1
16.22,0.82,2.07,0.41,14.38,5.44,74.45,31.87,162.3,37.3,367.7,82.48,1
53.55771628,2.091130797,5.615185728,1.478830602,57.86009467,20.94286985,248.5661882,100.7076059,438.0122789,96.59925528,771.4725769,139.6544303,1
1.12,1.24,4.13,0.13,26.5,8.96,97.3,29.1,121,23.7,226,38.1,0
10.58,0.4,1.01,0.23,5.84,2.2,30,13.1,67.5,16.8,190,41.4,1
9.848773167,0.797520028,1.900796555,0.780657175,11.63226224,4.008630837,52.78190658,20.10167099,101.3363967,22.54791793,232.5398935,43.34848367,1
8.921097439,1.251263362,4.302985344,0.390906677,27.85549694,11.36168091,132.2251683,54.39880983,222.0352703,53.20225989,433.004428,86.29747806,0
18.51,1.78,4.53,1.7,36,14,212,80,415,86,1003,158,0
54.06,3.11,5.18,1.12,22.47,7.22,78.37,26.48,112.2,23.31,217.6,37.3,1
10,1.33,2.06,0.68,9,2.81,32,11.7,56.9,14.2,149,31.5,1
17.87,6.42,12.67,1.96,38.86,10.58,94.26,28.58,110.19,21.59,200.22,36.41,0
4.9,1.64,4.38,0.22,23.6,8.48,100,37.4,159,32.3,307,55.8,1
39.57004139,0.917076864,3.37524838,0.721149046,20.25235212,6.719701674,85.53878404,30.1911539,141.7405923,30.54910907,290.102061,54.07068663,1
12.8,0.5,1.83,1.43,13.5,5.8,75.5,31.8,146.6,38.2,491,102.7,1
17,3.57,8.54,1.22,61.5,14.5,173,59,316,52.4,550,92.5,0
84.8,24.2,45.2,1.12,268,96.5,1196,441,1923,351,3103,510,0
68.7,4.14,9.76,1.87,39.4,11.9,133,50.1,222,47,429,85.7,1
10.8,2.75,2.88,0.73,13.6,4.17,47.5,16.7,74.2,16.7,172,27.8,0
37.73,1.68,4.15,0.65,19,6.09,63.2,21.58,91.44,18.91,181.9,33.16,1
2.07,3.09,2.22,0.71,5.36,1.29,14.4,4.47,23.5,4.35,44.9,6.88,0
81.06722317,1.832443812,4.737274204,1.643979182,28.18175845,10.24146867,126.9984117,50.03626304,229.0086399,49.22776403,456.3784022,92.85916383,1
1.48,0.63,1.42,0.18,4.3,1.15,9.78,4.39,17.8,4.66,52.7,11,0
0.788,1.98,3.05,0.189,13.71,4.918064169,48.5,18.4,81.4,17.06865508,162.2,35.36,0
2.17,0.68,1.84,0.1,13,4.87,62.2,24.2,107,23.8,234,39,0
7.84,3.36,5.8,0.453,28.1,9.06,102.6,36.6,157.6,30.4,264,49.2,1
18.8,0.9,1.3,0.4,6.8,2.6,32.3,14.3,71,18,185,46.2,1
1.67,2.1,6.41,0.272,40.53,15.59,200.3,79,372.9,83.4,775,156.8,0
1.13,1.19,3.47,0.046,26.76,10.75706516,154.2,63.8,309,63.8611006,603,121.6,0
2.575827747,0.202915024,0.737395385,0.056383747,5.707472401,2.226165349,33.37884898,15.21604802,87.88766188,23.56200723,271.7429742,60.8296989,0
41.8,7.24,10.2,1.32,55.2,18.6,214,80.1,356,74.4,753,141,0
99.7,4.68,8.94,3.45,46.66,13.77,160.7,58.93,262.8,58.92,580.4,112.6,1
5.32,0.66,2.99,0.36,30.99,12.67,162.14,56.35,241.14,56.6,525.26,87.6,1
0.284,0.55,2.95,0.091,31.2,12.22,145.2,46.3,177.8,33.6,262,43.2,0
10.29,0.6,0.96,0.36,5.39,2.12,27.62,12.5,67.7,17.03,187.9,46.21,1
